episode_id,arrival_utc,split,budget_hours
iw-validation-0017,2023-12-22T14:00:00Z,validation,192
iw-validation-0018,2023-12-25T18:00:00Z,validation,192
iw-validation-0019,2023-12-28T16:00:00Z,validation,192
iw-validation-0020,2023-12-31T01:00:00Z,validation,192
iw-validation-0021,2024-01-03T17:00:00Z,validation,192
iw-validation-0022,2024-01-06T18:00:00Z,validation,192
iw-validation-0023,2024-01-09T01:00:00Z,validation,192
iw-test-0000,2024-03-01T15:00:00Z,test,192
iw-test-0001,2024-03-04T12:00:00Z,test,192
iw-test-0002,2024-03-07T14:00:00Z,test,192
iw-test-0003,2024-03-10T04:00:00Z,test,192
iw-test-0004,2024-03-13T12:00:00Z,test,192
iw-test-0005,2024-03-16T08:00:00Z,test,192
iw-test-0006,2024-03-19T04:00:00Z,test,192
iw-test-0007,2024-03-22T14:00:00Z,test,192
iw-test-0008,2024-03-25T14:00:00Z,test,192
iw-test-0009,2024-03-28T04:00:00Z,test,192
iw-test-0010,2024-03-31T20:00:00Z,test,192
iw-test-0011,2024-04-03T12:00:00Z,test,192
iw-test-0012,2024-04-06T22:00:00Z,test,192
iw-test-0013,2024-04-09T09:00:00Z,test,192
iw-test-0014,2024-04-12T04:00:00Z,test,192
iw-test-0015,2024-04-15T17:00:00Z,test,192
iw-test-0016,2024-04-18T11:00:00Z,test,192
iw-test-0017,2024-04-21T10:00:00Z,test,192
iw-test-0018,2024-04-24T00:00:00Z,test,192
iw-test-0019,2024-04-27T00:00:00Z,test,192
iw-test-0020,2024-04-30T09:00:00Z,test,192
iw-test-0021,2024-05-03T22:00:00Z,test,192
iw-test-0022,2024-05-06T18:00:00Z,test,192
iw-test-0023,2024-05-09T07:00:00Z,test,192
iw-test-0024,2024-05-12T20:00:00Z,test,192
iw-test-0025,2024-05-15T08:00:00Z,test,192
iw-test-0026,2024-05-18T08:00:00Z,test,192
iw-test-0027,2024-05-21T09:00:00Z,test,192
iw-test-0028,2024-05-24T02:00:00Z,test,192
iw-test-0029,2024-05-27T03:00:00Z,test,192
iw-test-0030,2024-05-30T18:00:00Z,test,192
iw-test-0031,2024-06-02T13:00:00Z,test,192
iw-test-0032,2024-06-05T01:00:00Z,test,192
iw-test-0033,2024-06-08T22:00:00Z,test,192
