episode_id,arrival_utc,split,budget_hours
frontera-validation-0014,2020-11-12T03:00:00Z,validation,192
frontera-validation-0015,2020-11-15T18:00:00Z,validation,192
frontera-validation-0016,2020-11-18T12:00:00Z,validation,192
frontera-validation-0017,2020-11-21T17:00:00Z,validation,192
frontera-validation-0018,2020-11-24T14:00:00Z,validation,192
frontera-validation-0019,2020-11-27T18:00:00Z,validation,192
frontera-validation-0020,2020-11-30T16:00:00Z,validation,192
frontera-validation-0021,2020-12-03T01:00:00Z,validation,192
frontera-validation-0022,2020-12-06T17:00:00Z,validation,192
frontera-validation-0023,2020-12-09T18:00:00Z,validation,192
frontera-test-0000,2021-02-01T01:00:00Z,test,192
frontera-test-0001,2021-02-04T15:00:00Z,test,192
frontera-test-0002,2021-02-07T12:00:00Z,test,192
frontera-test-0003,2021-02-10T14:00:00Z,test,192
frontera-test-0004,2021-02-13T04:00:00Z,test,192
frontera-test-0005,2021-02-16T12:00:00Z,test,192
frontera-test-0006,2021-02-19T08:00:00Z,test,192
frontera-test-0007,2021-02-22T04:00:00Z,test,192
frontera-test-0008,2021-02-25T14:00:00Z,test,192
frontera-test-0009,2021-02-28T14:00:00Z,test,192
frontera-test-0010,2021-03-03T04:00:00Z,test,192
frontera-test-0011,2021-03-06T20:00:00Z,test,192
frontera-test-0012,2021-03-09T12:00:00Z,test,192
frontera-test-0013,2021-03-12T22:00:00Z,test,192
frontera-test-0014,2021-03-15T09:00:00Z,test,192
frontera-test-0015,2021-03-18T04:00:00Z,test,192
frontera-test-0016,2021-03-21T17:00:00Z,test,192
frontera-test-0017,2021-03-24T11:00:00Z,test,192
frontera-test-0018,2021-03-27T10:00:00Z,test,192
frontera-test-0019,2021-03-30T00:00:00Z,test,192
frontera-test-0020,2021-04-02T00:00:00Z,test,192
frontera-test-0021,2021-04-05T09:00:00Z,test,192
frontera-test-0022,2021-04-08T22:00:00Z,test,192
frontera-test-0023,2021-04-11T18:00:00Z,test,192
frontera-test-0024,2021-04-14T07:00:00Z,test,192
frontera-test-0025,2021-04-17T20:00:00Z,test,192
frontera-test-0026,2021-04-20T08:00:00Z,test,192
frontera-test-0027,2021-04-23T08:00:00Z,test,192
frontera-test-0028,2021-04-26T09:00:00Z,test,192
frontera-test-0029,2021-04-29T02:00:00Z,test,192
frontera-test-0030,2021-05-02T03:00:00Z,test,192
frontera-test-0031,2021-05-05T18:00:00Z,test,192
frontera-test-0032,2021-05-08T13:00:00Z,test,192
frontera-test-0033,2021-05-11T01:00:00Z,test,192
frontera-test-0034,2021-05-14T22:00:00Z,test,192
frontera-test-0035,2021-05-17T08:00:00Z,test,192
frontera-test-0036,2021-05-20T18:00:00Z,test,192
frontera-test-0037,2021-05-23T16:00:00Z,test,192
frontera-test-0038,2021-05-26T23:00:00Z,test,192
frontera-test-0039,2021-05-29T20:00:00Z,test,192
frontera-test-0040,2021-06-01T19:00:00Z,test,192
frontera-test-0041,2021-06-04T05:00:00Z,test,192
frontera-test-0042,2021-06-07T21:00:00Z,test,192
frontera-test-0043,2021-06-10T08:00:00Z,test,192
frontera-test-0044,2021-06-13T20:00:00Z,test,192
frontera-test-0045,2021-06-16T23:00:00Z,test,192
frontera-test-0046,2021-06-19T20:00:00Z,test,192
frontera-test-0047,2021-06-22T10:00:00Z,test,192
frontera-test-0048,2021-06-25T17:00:00Z,test,192
frontera-test-0049,2021-06-28T14:00:00Z,test,192
frontera-test-0050,2021-07-01T09:00:00Z,test,192
frontera-test-0051,2021-07-04T04:00:00Z,test,192
frontera-test-0052,2021-07-07T12:00:00Z,test,192
frontera-test-0053,2021-07-10T15:00:00Z,test,192
