Log: /scratch2/09796/shuyuanfan4814/carbon/out/frontera-weighted84.7951098.20260923T035234Z.iXUBuI.log
Slurm job: 7951098
Host: c211-013.frontera.tacc.utexas.edu
Python: /home1/09796/shuyuanfan4814/.conda/envs/carbon/bin/python
PyTorch: 2.6.0+cpu
sklearn: 1.6.1; scipy: 1.16.3; matplotlib: 3.11.2
frontera-train-0000 Fixed-4: completed, chunks=5
frontera-train-0025 Fixed-16: completed, chunks=2
frontera-train-0025 Fixed-64: completed, chunks=1
frontera-train-0026 Fixed-4: completed, chunks=5
frontera-train-0026 Fixed-16: completed, chunks=2
frontera-train-0026 Fixed-64: completed, chunks=1
frontera-train-0027 Fixed-4: completed, chunks=5
frontera-train-0027 Fixed-16: completed, chunks=2
frontera-train-0027 Fixed-64: completed, chunks=1
frontera-train-0028 Fixed-4: completed, chunks=5
frontera-train-0028 Fixed-16: completed, chunks=2
frontera-train-0028 Fixed-64: completed, chunks=1
frontera-train-0029 Fixed-4: completed, chunks=5
frontera-train-0029 Fixed-16: completed, chunks=2
frontera-train-0029 Fixed-64: completed, chunks=1
frontera-train-0030 Fixed-4: completed, chunks=5
frontera-train-0030 Fixed-16: completed, chunks=2
frontera-train-0030 Fixed-64: completed, chunks=1
frontera-train-0031 Fixed-4: completed, chunks=5
frontera-train-0031 Fixed-16: completed, chunks=2
frontera-train-0031 Fixed-64: completed, chunks=1
frontera-train-0032 Fixed-4: completed, chunks=5
frontera-train-0032 Fixed-16: completed, chunks=2
frontera-train-0032 Fixed-64: completed, chunks=1
frontera-train-0033 Fixed-4: completed, chunks=5
frontera-train-0033 Fixed-16: completed, chunks=2
frontera-train-0033 Fixed-64: completed, chunks=1
frontera-train-0034 Fixed-4: completed, chunks=5
frontera-train-0034 Fixed-16: completed, chunks=2
frontera-train-0034 Fixed-64: completed, chunks=1
frontera-train-0035 Fixed-4: completed, chunks=5
frontera-train-0035 Fixed-16: completed, chunks=2
frontera-train-0035 Fixed-64: completed, chunks=1
frontera-train-0036 Fixed-4: completed, chunks=5
frontera-train-0036 Fixed-16: completed, chunks=2
frontera-train-0036 Fixed-64: completed, chunks=1
frontera-train-0037 Fixed-4: completed, chunks=5
frontera-train-0037 Fixed-16: completed, chunks=2
frontera-train-0037 Fixed-64: completed, chunks=1
frontera-train-0038 Fixed-4: completed, chunks=5
frontera-train-0038 Fixed-16: completed, chunks=2
frontera-train-0038 Fixed-64: completed, chunks=1
frontera-train-0039 Fixed-4: completed, chunks=5
frontera-train-0039 Fixed-16: completed, chunks=2
frontera-train-0039 Fixed-64: completed, chunks=1
frontera-train-0040 Fixed-4: completed, chunks=5
frontera-train-0040 Fixed-16: completed, chunks=2
frontera-train-0040 Fixed-64: completed, chunks=1
frontera-train-0041 Fixed-4: completed, chunks=5
frontera-train-0041 Fixed-16: completed, chunks=2
frontera-train-0041 Fixed-64: completed, chunks=1
frontera-train-0042 Fixed-4: completed, chunks=5
frontera-train-0042 Fixed-16: completed, chunks=2
frontera-train-0042 Fixed-64: completed, chunks=1
frontera-train-0043 Fixed-4: completed, chunks=5
frontera-train-0043 Fixed-16: completed, chunks=2
frontera-train-0043 Fixed-64: completed, chunks=1
frontera-train-0044 Fixed-4: completed, chunks=5
frontera-train-0044 Fixed-16: completed, chunks=2
frontera-train-0044 Fixed-64: completed, chunks=1
frontera-train-0045 Fixed-4: completed, chunks=5
frontera-train-0045 Fixed-16: completed, chunks=2
frontera-train-0045 Fixed-64: completed, chunks=1
frontera-train-0046 Fixed-4: completed, chunks=5
frontera-train-0046 Fixed-16: completed, chunks=2
frontera-train-0046 Fixed-64: completed, chunks=1
frontera-train-0047 Fixed-4: completed, chunks=5
frontera-train-0047 Fixed-16: completed, chunks=2
frontera-train-0047 Fixed-64: completed, chunks=1
frontera-train-0048 Fixed-4: completed, chunks=5
frontera-train-0048 Fixed-16: completed, chunks=2
frontera-train-0048 Fixed-64: completed, chunks=1
frontera-train-0049 Fixed-4: completed, chunks=5
frontera-train-0049 Fixed-16: completed, chunks=2
frontera-train-0049 Fixed-64: completed, chunks=1
frontera-train-0050 Fixed-4: completed, chunks=5
frontera-train-0050 Fixed-16: completed, chunks=2
frontera-train-0050 Fixed-64: completed, chunks=1
frontera-train-0051 Fixed-4: completed, chunks=5
frontera-train-0051 Fixed-16: completed, chunks=2
frontera-train-0051 Fixed-64: completed, chunks=1
frontera-train-0052 Fixed-4: completed, chunks=5
frontera-train-0052 Fixed-16: completed, chunks=2
frontera-train-0052 Fixed-64: completed, chunks=1
frontera-train-0053 Fixed-4: completed, chunks=5
frontera-train-0053 Fixed-16: completed, chunks=2
frontera-train-0053 Fixed-64: completed, chunks=1
frontera-train-0054 Fixed-4: completed, chunks=5
frontera-train-0054 Fixed-16: completed, chunks=2
frontera-train-0054 Fixed-64: completed, chunks=1
frontera-train-0055 Fixed-4: completed, chunks=5
frontera-train-0055 Fixed-16: completed, chunks=2
frontera-train-0055 Fixed-64: completed, chunks=1
frontera-train-0056 Fixed-4: completed, chunks=5
frontera-train-0056 Fixed-16: completed, chunks=2
frontera-train-0056 Fixed-64: completed, chunks=1
frontera-train-0057 Fixed-4: completed, chunks=5
frontera-train-0057 Fixed-16: completed, chunks=2
frontera-train-0057 Fixed-64: completed, chunks=1
frontera-train-0058 Fixed-4: completed, chunks=5
frontera-train-0058 Fixed-16: completed, chunks=2
frontera-train-0058 Fixed-64: completed, chunks=1
frontera-train-0059 Fixed-4: completed, chunks=5
frontera-train-0059 Fixed-16: completed, chunks=2
frontera-train-0059 Fixed-64: completed, chunks=1
frontera-train-0060 Fixed-4: completed, chunks=5
frontera-train-0060 Fixed-16: completed, chunks=2
frontera-train-0060 Fixed-64: completed, chunks=1
frontera-train-0061 Fixed-4: completed, chunks=5
frontera-train-0061 Fixed-16: completed, chunks=2
frontera-train-0061 Fixed-64: completed, chunks=1
frontera-train-0062 Fixed-4: completed, chunks=5
frontera-train-0062 Fixed-16: completed, chunks=2
frontera-train-0062 Fixed-64: completed, chunks=1
frontera-train-0063 Fixed-4: completed, chunks=5
frontera-train-0063 Fixed-16: completed, chunks=2
frontera-train-0063 Fixed-64: completed, chunks=1
frontera-train-0064 Fixed-4: completed, chunks=5
frontera-train-0064 Fixed-16: completed, chunks=2
frontera-train-0064 Fixed-64: completed, chunks=1
frontera-train-0065 Fixed-4: completed, chunks=5
frontera-train-0065 Fixed-16: completed, chunks=2
frontera-train-0065 Fixed-64: completed, chunks=1
frontera-train-0066 Fixed-4: completed, chunks=5
frontera-train-0066 Fixed-16: completed, chunks=2
frontera-train-0066 Fixed-64: completed, chunks=1
frontera-train-0067 Fixed-4: completed, chunks=5
frontera-train-0067 Fixed-16: completed, chunks=2
frontera-train-0067 Fixed-64: completed, chunks=1
frontera-train-0068 Fixed-4: completed, chunks=5
frontera-train-0068 Fixed-16: completed, chunks=2
frontera-train-0068 Fixed-64: completed, chunks=1
frontera-train-0069 Fixed-4: completed, chunks=5
frontera-train-0069 Fixed-16: completed, chunks=2
frontera-train-0069 Fixed-64: completed, chunks=1
frontera-train-0070 Fixed-4: completed, chunks=5
frontera-train-0070 Fixed-16: completed, chunks=2
frontera-train-0070 Fixed-64: completed, chunks=1
frontera-train-0071 Fixed-4: completed, chunks=5
frontera-train-0071 Fixed-16: completed, chunks=2
frontera-train-0071 Fixed-64: completed, chunks=1
frontera-train-0072 Fixed-4: completed, chunks=5
frontera-train-0072 Fixed-16: completed, chunks=2
frontera-train-0072 Fixed-64: completed, chunks=1
Fixed train: 73 arrivals, 219 outcomes, 159.1s
frontera-validation-0000 Fixed-4: completed, chunks=5
frontera-validation-0000 Fixed-16: completed, chunks=2
frontera-validation-0000 Fixed-64: completed, chunks=1
frontera-validation-0001 Fixed-4: completed, chunks=5
frontera-validation-0001 Fixed-16: completed, chunks=2
frontera-validation-0001 Fixed-64: completed, chunks=1
frontera-validation-0002 Fixed-4: completed, chunks=5
frontera-validation-0002 Fixed-16: completed, chunks=2
frontera-validation-0002 Fixed-64: completed, chunks=1
frontera-validation-0003 Fixed-4: completed, chunks=5
frontera-validation-0003 Fixed-16: completed, chunks=2
frontera-validation-0003 Fixed-64: completed, chunks=1
frontera-validation-0004 Fixed-4: completed, chunks=5
frontera-validation-0004 Fixed-16: completed, chunks=2
frontera-validation-0004 Fixed-64: completed, chunks=1
frontera-validation-0005 Fixed-4: completed, chunks=5
frontera-validation-0005 Fixed-16: completed, chunks=2
frontera-validation-0005 Fixed-64: completed, chunks=1
frontera-validation-0006 Fixed-4: completed, chunks=5
frontera-validation-0006 Fixed-16: completed, chunks=2
frontera-validation-0006 Fixed-64: completed, chunks=1
frontera-validation-0007 Fixed-4: completed, chunks=5
frontera-validation-0007 Fixed-16: completed, chunks=2
frontera-validation-0007 Fixed-64: completed, chunks=1
frontera-validation-0008 Fixed-4: completed, chunks=5
frontera-validation-0008 Fixed-16: completed, chunks=2
frontera-validation-0008 Fixed-64: completed, chunks=1
frontera-validation-0009 Fixed-4: completed, chunks=5
frontera-validation-0009 Fixed-16: completed, chunks=2
frontera-validation-0009 Fixed-64: completed, chunks=1
frontera-validation-0010 Fixed-4: completed, chunks=5
frontera-validation-0010 Fixed-16: completed, chunks=2
frontera-validation-0010 Fixed-64: completed, chunks=1
frontera-validation-0011 Fixed-4: completed, chunks=5
frontera-validation-0011 Fixed-16: completed, chunks=2
frontera-validation-0011 Fixed-64: completed, chunks=1
frontera-validation-0012 Fixed-4: completed, chunks=5
frontera-validation-0012 Fixed-16: completed, chunks=2
frontera-validation-0012 Fixed-64: completed, chunks=1
frontera-validation-0013 Fixed-4: completed, chunks=5
frontera-validation-0013 Fixed-16: completed, chunks=2
frontera-validation-0013 Fixed-64: completed, chunks=1
frontera-validation-0014 Fixed-4: completed, chunks=5
frontera-validation-0014 Fixed-16: completed, chunks=2
frontera-validation-0014 Fixed-64: completed, chunks=1
frontera-validation-0015 Fixed-4: completed, chunks=5
frontera-validation-0015 Fixed-16: completed, chunks=2
frontera-validation-0015 Fixed-64: completed, chunks=1
frontera-validation-0016 Fixed-4: completed, chunks=5
frontera-validation-0016 Fixed-16: completed, chunks=2
frontera-validation-0016 Fixed-64: completed, chunks=1
frontera-validation-0017 Fixed-4: completed, chunks=5
frontera-validation-0017 Fixed-16: completed, chunks=2
frontera-validation-0017 Fixed-64: completed, chunks=1
frontera-validation-0018 Fixed-4: completed, chunks=5
frontera-validation-0018 Fixed-16: completed, chunks=2
frontera-validation-0018 Fixed-64: completed, chunks=1
frontera-validation-0019 Fixed-4: completed, chunks=5
frontera-validation-0019 Fixed-16: completed, chunks=2
frontera-validation-0019 Fixed-64: completed, chunks=1
frontera-validation-0020 Fixed-4: completed, chunks=5
frontera-validation-0020 Fixed-16: completed, chunks=2
frontera-validation-0020 Fixed-64: completed, chunks=1
frontera-validation-0021 Fixed-4: completed, chunks=5
frontera-validation-0021 Fixed-16: completed, chunks=2
frontera-validation-0021 Fixed-64: completed, chunks=1
frontera-validation-0022 Fixed-4: completed, chunks=5
frontera-validation-0022 Fixed-16: completed, chunks=2
frontera-validation-0022 Fixed-64: completed, chunks=1
frontera-validation-0023 Fixed-4: completed, chunks=5
frontera-validation-0023 Fixed-16: completed, chunks=2
frontera-validation-0023 Fixed-64: completed, chunks=1
Fixed validation: 24 arrivals, 72 outcomes, 202.6s
Minimal C84 fixed preparation complete. No wait probes or planner fitting.
weighted observe 1/64: episodes=80, chunks=144, optimizer_steps=0
weighted observe 2/64: episodes=160, chunks=291, optimizer_steps=0
weighted observe 3/64: episodes=240, chunks=436, optimizer_steps=0
weighted observe 4/64: episodes=320, chunks=587, optimizer_steps=0
weighted observe 5/64: episodes=400, chunks=727, optimizer_steps=0
Frozen reward means: TAT=60.717609h, carbon=301303.786890, n=400
weighted train 6/64: episodes=480, chunks=866, optimizer_steps=20
weighted train 7/64: episodes=560, chunks=1007, optimizer_steps=20
weighted train 8/64: episodes=640, chunks=1147, optimizer_steps=20
weighted train 9/64: episodes=720, chunks=1270, optimizer_steps=20
weighted train 10/64: episodes=800, chunks=1380, optimizer_steps=20
weighted train 11/64: episodes=880, chunks=1489, optimizer_steps=20
weighted train 12/64: episodes=960, chunks=1597, optimizer_steps=20
weighted train 13/64: episodes=1040, chunks=1704, optimizer_steps=20
weighted train 14/64: episodes=1120, chunks=1809, optimizer_steps=20
weighted train 15/64: episodes=1200, chunks=1926, optimizer_steps=20
weighted train 16/64: episodes=1280, chunks=2050, optimizer_steps=20
weighted train 17/64: episodes=1360, chunks=2174, optimizer_steps=20
weighted train 18/64: episodes=1440, chunks=2291, optimizer_steps=20
weighted train 19/64: episodes=1520, chunks=2407, optimizer_steps=20
weighted train 20/64: episodes=1600, chunks=2522, optimizer_steps=20
weighted train 21/64: episodes=1680, chunks=2633, optimizer_steps=20
weighted train 22/64: episodes=1760, chunks=2752, optimizer_steps=20
weighted train 23/64: episodes=1840, chunks=2878, optimizer_steps=20
weighted train 24/64: episodes=1920, chunks=3010, optimizer_steps=20
weighted train 25/64: episodes=2000, chunks=3141, optimizer_steps=20
weighted train 26/64: episodes=2080, chunks=3279, optimizer_steps=20
weighted train 27/64: episodes=2160, chunks=3405, optimizer_steps=20
weighted train 28/64: episodes=2240, chunks=3544, optimizer_steps=20
weighted train 29/64: episodes=2320, chunks=3662, optimizer_steps=20
weighted train 30/64: episodes=2400, chunks=3775, optimizer_steps=20
weighted train 31/64: episodes=2480, chunks=3892, optimizer_steps=20
weighted train 32/64: episodes=2560, chunks=4000, optimizer_steps=20
weighted train 33/64: episodes=2640, chunks=4100, optimizer_steps=20
weighted train 34/64: episodes=2720, chunks=4212, optimizer_steps=20
weighted train 35/64: episodes=2800, chunks=4323, optimizer_steps=20
weighted train 36/64: episodes=2880, chunks=4439, optimizer_steps=20
weighted train 37/64: episodes=2960, chunks=4552, optimizer_steps=20
weighted train 38/64: episodes=3040, chunks=4673, optimizer_steps=20
weighted train 39/64: episodes=3120, chunks=4796, optimizer_steps=20
weighted train 40/64: episodes=3200, chunks=4910, optimizer_steps=20
weighted train 41/64: episodes=3280, chunks=5026, optimizer_steps=20
weighted train 42/64: episodes=3360, chunks=5155, optimizer_steps=20
weighted train 43/64: episodes=3440, chunks=5271, optimizer_steps=20
weighted train 44/64: episodes=3520, chunks=5391, optimizer_steps=20
weighted train 45/64: episodes=3600, chunks=5510, optimizer_steps=20
weighted train 46/64: episodes=3680, chunks=5652, optimizer_steps=20
weighted train 47/64: episodes=3760, chunks=5780, optimizer_steps=20
weighted train 48/64: episodes=3840, chunks=5905, optimizer_steps=20
weighted train 49/64: episodes=3920, chunks=6028, optimizer_steps=20
weighted train 50/64: episodes=4000, chunks=6155, optimizer_steps=20
weighted train 51/64: episodes=4080, chunks=6286, optimizer_steps=20
weighted train 52/64: episodes=4160, chunks=6411, optimizer_steps=20
weighted train 53/64: episodes=4240, chunks=6544, optimizer_steps=20
weighted train 54/64: episodes=4320, chunks=6672, optimizer_steps=20
weighted train 55/64: episodes=4400, chunks=6806, optimizer_steps=20
weighted train 56/64: episodes=4480, chunks=6929, optimizer_steps=20
weighted train 57/64: episodes=4560, chunks=7043, optimizer_steps=20
weighted train 58/64: episodes=4640, chunks=7162, optimizer_steps=20
weighted train 59/64: episodes=4720, chunks=7289, optimizer_steps=20
weighted train 60/64: episodes=4800, chunks=7408, optimizer_steps=20
weighted train 61/64: episodes=4880, chunks=7525, optimizer_steps=20
weighted train 62/64: episodes=4960, chunks=7633, optimizer_steps=20
weighted train 63/64: episodes=5040, chunks=7762, optimizer_steps=20
weighted train 64/64: episodes=5120, chunks=7882, optimizer_steps=20
weighted validation 16: frontera-validation-0000 alpha=0.0: completed
weighted validation 16: frontera-validation-0000 alpha=0.2: completed
weighted validation 16: frontera-validation-0000 alpha=0.5: completed
weighted validation 16: frontera-validation-0000 alpha=0.8: completed
weighted validation 16: frontera-validation-0000 alpha=1.0: completed
weighted validation 16: frontera-validation-0001 alpha=0.0: completed
weighted validation 16: frontera-validation-0001 alpha=0.2: completed
weighted validation 16: frontera-validation-0001 alpha=0.5: completed
weighted validation 16: frontera-validation-0001 alpha=0.8: completed
weighted validation 16: frontera-validation-0001 alpha=1.0: completed
weighted validation 16: frontera-validation-0002 alpha=0.0: completed
weighted validation 16: frontera-validation-0002 alpha=0.2: completed
weighted validation 16: frontera-validation-0002 alpha=0.5: completed
weighted validation 16: frontera-validation-0002 alpha=0.8: completed
weighted validation 16: frontera-validation-0002 alpha=1.0: completed
weighted validation 16: frontera-validation-0003 alpha=0.0: completed
weighted validation 16: frontera-validation-0003 alpha=0.2: completed
weighted validation 16: frontera-validation-0003 alpha=0.5: completed
weighted validation 16: frontera-validation-0003 alpha=0.8: completed
weighted validation 16: frontera-validation-0003 alpha=1.0: completed
weighted validation 16: frontera-validation-0004 alpha=0.0: completed
weighted validation 16: frontera-validation-0004 alpha=0.2: completed
weighted validation 16: frontera-validation-0004 alpha=0.5: completed
weighted validation 16: frontera-validation-0004 alpha=0.8: completed
weighted validation 16: frontera-validation-0004 alpha=1.0: completed
weighted validation 16: frontera-validation-0005 alpha=0.0: completed
weighted validation 16: frontera-validation-0005 alpha=0.2: completed
weighted validation 16: frontera-validation-0005 alpha=0.5: completed
weighted validation 16: frontera-validation-0005 alpha=0.8: completed
weighted validation 16: frontera-validation-0005 alpha=1.0: completed
weighted validation 16: frontera-validation-0006 alpha=0.0: completed
weighted validation 16: frontera-validation-0006 alpha=0.2: completed
weighted validation 16: frontera-validation-0006 alpha=0.5: completed
weighted validation 16: frontera-validation-0006 alpha=0.8: completed
weighted validation 16: frontera-validation-0006 alpha=1.0: completed
weighted validation 16: frontera-validation-0007 alpha=0.0: completed
weighted validation 16: frontera-validation-0007 alpha=0.2: completed
weighted validation 16: frontera-validation-0007 alpha=0.5: completed
weighted validation 16: frontera-validation-0007 alpha=0.8: completed
weighted validation 16: frontera-validation-0007 alpha=1.0: completed
weighted validation 16: frontera-validation-0008 alpha=0.0: completed
weighted validation 16: frontera-validation-0008 alpha=0.2: completed
weighted validation 16: frontera-validation-0008 alpha=0.5: completed
weighted validation 16: frontera-validation-0008 alpha=0.8: completed
weighted validation 16: frontera-validation-0008 alpha=1.0: completed
weighted validation 16: frontera-validation-0009 alpha=0.0: completed
weighted validation 16: frontera-validation-0009 alpha=0.2: completed
weighted validation 16: frontera-validation-0009 alpha=0.5: completed
weighted validation 16: frontera-validation-0009 alpha=0.8: completed
weighted validation 16: frontera-validation-0009 alpha=1.0: completed
weighted validation 16: frontera-validation-0010 alpha=0.0: completed
weighted validation 16: frontera-validation-0010 alpha=0.2: completed
weighted validation 16: frontera-validation-0010 alpha=0.5: completed
weighted validation 16: frontera-validation-0010 alpha=0.8: completed
weighted validation 16: frontera-validation-0010 alpha=1.0: completed
weighted validation 16: frontera-validation-0011 alpha=0.0: completed
weighted validation 16: frontera-validation-0011 alpha=0.2: completed
weighted validation 16: frontera-validation-0011 alpha=0.5: completed
weighted validation 16: frontera-validation-0011 alpha=0.8: completed
weighted validation 16: frontera-validation-0011 alpha=1.0: completed
weighted validation 16: frontera-validation-0012 alpha=0.0: completed
weighted validation 16: frontera-validation-0012 alpha=0.2: completed
weighted validation 16: frontera-validation-0012 alpha=0.5: completed
weighted validation 16: frontera-validation-0012 alpha=0.8: completed
weighted validation 16: frontera-validation-0012 alpha=1.0: completed
weighted validation 16: frontera-validation-0013 alpha=0.0: completed
weighted validation 16: frontera-validation-0013 alpha=0.2: completed
weighted validation 16: frontera-validation-0013 alpha=0.5: completed
weighted validation 16: frontera-validation-0013 alpha=0.8: completed
weighted validation 16: frontera-validation-0013 alpha=1.0: completed
weighted validation 16: frontera-validation-0014 alpha=0.0: completed
weighted validation 16: frontera-validation-0014 alpha=0.2: completed
weighted validation 16: frontera-validation-0014 alpha=0.5: completed
weighted validation 16: frontera-validation-0014 alpha=0.8: completed
weighted validation 16: frontera-validation-0014 alpha=1.0: completed
weighted validation 16: frontera-validation-0015 alpha=0.0: completed
weighted validation 16: frontera-validation-0015 alpha=0.2: completed
weighted validation 16: frontera-validation-0015 alpha=0.5: completed
weighted validation 16: frontera-validation-0015 alpha=0.8: completed
weighted validation 16: frontera-validation-0015 alpha=1.0: completed
weighted validation 16: frontera-validation-0016 alpha=0.0: completed
weighted validation 16: frontera-validation-0016 alpha=0.2: completed
weighted validation 16: frontera-validation-0016 alpha=0.5: completed
weighted validation 16: frontera-validation-0016 alpha=0.8: completed
weighted validation 16: frontera-validation-0016 alpha=1.0: completed
weighted validation 16: frontera-validation-0017 alpha=0.0: completed
weighted validation 16: frontera-validation-0017 alpha=0.2: completed
weighted validation 16: frontera-validation-0017 alpha=0.5: completed
weighted validation 16: frontera-validation-0017 alpha=0.8: completed
weighted validation 16: frontera-validation-0017 alpha=1.0: completed
weighted validation 16: frontera-validation-0018 alpha=0.0: completed
weighted validation 16: frontera-validation-0018 alpha=0.2: completed
weighted validation 16: frontera-validation-0018 alpha=0.5: completed
weighted validation 16: frontera-validation-0018 alpha=0.8: completed
weighted validation 16: frontera-validation-0018 alpha=1.0: completed
weighted validation 16: frontera-validation-0019 alpha=0.0: completed
weighted validation 16: frontera-validation-0019 alpha=0.2: completed
weighted validation 16: frontera-validation-0019 alpha=0.5: completed
weighted validation 16: frontera-validation-0019 alpha=0.8: completed
weighted validation 16: frontera-validation-0019 alpha=1.0: completed
weighted validation 16: frontera-validation-0020 alpha=0.0: completed
weighted validation 16: frontera-validation-0020 alpha=0.2: completed
weighted validation 16: frontera-validation-0020 alpha=0.5: completed
weighted validation 16: frontera-validation-0020 alpha=0.8: completed
weighted validation 16: frontera-validation-0020 alpha=1.0: completed
weighted validation 16: frontera-validation-0021 alpha=0.0: completed
weighted validation 16: frontera-validation-0021 alpha=0.2: completed
weighted validation 16: frontera-validation-0021 alpha=0.5: completed
weighted validation 16: frontera-validation-0021 alpha=0.8: completed
weighted validation 16: frontera-validation-0021 alpha=1.0: completed
weighted validation 16: frontera-validation-0022 alpha=0.0: completed
weighted validation 16: frontera-validation-0022 alpha=0.2: completed
weighted validation 16: frontera-validation-0022 alpha=0.5: completed
weighted validation 16: frontera-validation-0022 alpha=0.8: completed
weighted validation 16: frontera-validation-0022 alpha=1.0: completed
weighted validation 16: frontera-validation-0023 alpha=0.0: completed
weighted validation 16: frontera-validation-0023 alpha=0.2: completed
weighted validation 16: frontera-validation-0023 alpha=0.5: completed
weighted validation 16: frontera-validation-0023 alpha=0.8: completed
weighted validation 16: frontera-validation-0023 alpha=1.0: completed
weighted validation 32: frontera-validation-0000 alpha=0.0: completed
weighted validation 32: frontera-validation-0000 alpha=0.2: completed
weighted validation 32: frontera-validation-0000 alpha=0.5: completed
weighted validation 32: frontera-validation-0000 alpha=0.8: completed
weighted validation 32: frontera-validation-0000 alpha=1.0: completed
weighted validation 32: frontera-validation-0001 alpha=0.0: completed
weighted validation 32: frontera-validation-0001 alpha=0.2: completed
weighted validation 32: frontera-validation-0001 alpha=0.5: completed
weighted validation 32: frontera-validation-0001 alpha=0.8: completed
weighted validation 32: frontera-validation-0001 alpha=1.0: completed
weighted validation 32: frontera-validation-0002 alpha=0.0: completed
weighted validation 32: frontera-validation-0002 alpha=0.2: completed
weighted validation 32: frontera-validation-0002 alpha=0.5: completed
weighted validation 32: frontera-validation-0002 alpha=0.8: completed
weighted validation 32: frontera-validation-0002 alpha=1.0: completed
weighted validation 32: frontera-validation-0003 alpha=0.0: completed
weighted validation 32: frontera-validation-0003 alpha=0.2: completed
weighted validation 32: frontera-validation-0003 alpha=0.5: completed
weighted validation 32: frontera-validation-0003 alpha=0.8: completed
